File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,label
main/org/apache/tools/ant/FileScanner.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,14,0,14,0,14,0,0,0,0,158,15,18,17,0,125,0,0,0,16,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0
main/org/apache/tools/ant/IntrospectionHelper.java,2,2,3,1,20,0,12,7,0,0,0,20,5,8,78,0,80,75,21,80,0,18,18,2,42,0,1742,105,967,249,616,677,0,0,0,366,579,221,358,0,0,0,0,0,21,21,49,16,0,0,5,0,0,0.70,228,228,272,138,0,0,0
main/org/apache/tools/ant/Location.java,1,1,1,1,12,0,5,6,0,0,0,1,0,3,10,0,10,10,3,10,0,0,1,0,9,0,179,21,66,22,31,92,0,0,0,31,48,22,26,0,0,0,0,0,4,4,4,4,0,0,2,0,0,1.39,16,16,17,13,0,0,0
main/org/apache/tools/ant/MagicNames.java,1,1,1,1,2,0,2,0,0,0,0,1,0,37,1,0,1,1,0,1,0,0,1,0,0,0,306,40,48,46,37,218,0,0,0,39,41,41,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4.54,1,1,1,1,0,0,0
main/org/apache/tools/ant/Main.java,5,5,5,2,32,1,22,8,0,0,0,2,12,5,34,0,34,22,20,34,0,0,24,3,7,0,1324,130,817,197,598,384,0,0,0,425,599,193,406,0,0,0,0,0,51,51,69,27,0,0,5,0,0,0.47,171,171,194,74,0,0,0
main/org/apache/tools/ant/NoBannerLogger.java,1,1,1,1,11,0,5,5,0,0,0,1,0,0,5,0,5,5,1,5,0,0,0,1,4,0,100,12,30,9,12,58,0,0,0,10,19,9,10,0,0,0,0,0,3,3,5,1,0,0,1,0,0,1.93,7,7,9,5,0,0,0
main/org/apache/tools/ant/PathTokenizer.java,5,5,7,1,34,1,20,13,0,0,0,1,0,0,3,0,3,3,4,3,0,0,0,0,3,0,166,14,71,17,44,81,0,0,0,29,45,17,28,0,0,0,0,0,11,11,19,1,0,0,6,0,0,1.14,15,15,23,3,0,0,0
main/org/apache/tools/ant/Project.java,1,1,1,1,16,0,6,9,0,0,0,3,5,16,129,0,129,124,18,129,0,1,6,11,111,0,2487,172,967,321,516,1352,0,0,0,409,645,281,364,0,0,0,0,0,14,14,14,4,0,0,5,0,0,1.40,233,233,237,139,0,0,1
main/org/apache/tools/ant/ProjectComponent.java,1,1,1,1,10,0,3,6,0,0,0,1,0,0,10,0,10,10,3,10,0,0,0,0,10,0,172,14,47,19,17,111,0,0,0,17,30,16,14,0,0,0,0,0,3,3,3,1,0,0,2,0,0,2.36,12,12,12,10,0,0,0
main/org/apache/tools/ant/ProjectHelper.java,1,1,1,1,15,0,5,9,0,0,0,4,22,16,36,0,36,14,3,36,0,0,1,2,33,0,720,63,258,106,133,399,0,0,0,106,170,89,81,0,0,0,0,0,9,9,9,5,0,0,3,0,0,1.55,62,62,65,44,0,0,0
